poiId,name,latitude,longitude,preference,address
77,Praia do Porto da Barra,-13.0038021,-38.5326932,beach,Praia do Porto da Barra - Av. Sete de Setembro  s/n - Barra  Salvador - BA  40140-030  Brazil
78,Praia Do Flamengo,-12.9294757,-38.3189825,beach,Praia Do Flamengo - R. Godofredo Filho  n 1911 - Praia do Flamengo  Salvador - BA  41603-285  Brazil
79,Salvador Beach Club,-12.9661911,-38.4038636,beach,Salvador Beach Club - Av. Octavio Mangabeira  2012 - Patamares  Salvador - BA  41680-000  Brazil
80,Boa Viagem Beach,-12.931072,-38.515701,beach,Boa Viagem Beach  Salvador - State of Bahia  40301-155  Brazil
81,Praia Itapua,-12.9513612,-38.3717127,beach,Praia Itapua - Av. Octavio Mangabeira - Piata  Salvador - BA  Brazil
82,Praia de Piata,-12.9547946,-38.3826836,beach,Av. Octavio Mangabeira - Piata  Salvador - BA  41610-160  Brazil
83,Ondina Beach,-13.0103784,-38.5120368,beach,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil
84,Stella Maris beach,-12.9488167,-38.341097,beach,Stella Maris beach  State of Bahia  41600-090  Brazil
85,Farol da Barra,-13.0098997,-38.5284848,beach,Farol da Barra  Salvador - State of Bahia  Brazil
86,Praia de Amaralina,-13.014284,-38.47684270000001,beach,Praia de Amaralina  State of Bahia  Brazil
87,Praia do Farol,-12.952961,-38.348126,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil
88,Praia da Penha,-12.9101298,-38.4948066,beach,Salvador - BA
89,Praia da 3a Ponte,-12.960843,-38.39589,beach,Praia da 3a Ponte  Salvador - State of Bahia  Brazil
90,Praia da Paciencia,-13.0108371,-38.4970545,beach,Praia da Paciencia - Rio Vermelho  Salvador - State of Bahia  40170-010  Brazil
91,Praia do Rio Vermelho,-13.0116048,-38.4924984,beach,Praia do Rio Vermelho  State of Bahia  Brazil
92,Praia do Roma,-12.934611,-38.5654064,beach,R. Alzira  1 - Roma  Salvador - BA  40444-080
93,Praia da Boa Viagem,-12.9350958,-38.5098867,beach,Salvador - BA  40301-155
94,Praia de Jaguaribe,-12.9606183,-38.3947197,beach,Bahia
95,Praia do Farol da Barra,-13.0098997,-38.5284848,beach,Salvador - BA
96,Praia de Stella Maris,-12.9488167,-38.341097,beach,Bahia  41600-090
97,Praia de Ondina,-13.0114754,-38.506261,beach,Bahia
98,Praia do Chega Nego,-13.0013978,-38.4492581,beach,Salvador - BA  40301-155
99,Praia da Pituba,-13.0098382,-38.4634244,beach,Bahia
100,Praia da Pedra do Sal,-12.9501728,-38.3429332,beach,R. Alves Ribeiro  151 - Itapuã  Salvador - BA  41301-110
101,Praia de Armacao,-12.9957437,-38.4408488,beach,Bahia
102,Praia de Sao Tome de Paripe,-12.823175,-38.4858876,beach,R. Benjamin de Souza - São Tomé de Paripe  Salvador - BA  40800-201
103,Praia da Boca do Rio,-12.983283,-38.4296677,beach,Bahia
104,Praia de Aleluia,-12.9369397,-38.3267951,beach,Bahia  41600-090
105,Praia de Placafor,-12.9512414,-38.371031,beach,Bahia
